measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1992,30491.2443,41741.64483,20867.53542
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1992,12461.12886,24319.15153,2499.647664
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1992,144700.7593,154822.0339,134631.2544
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1992,129884.8691,137346.1525,122107.7935
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1992,22980.78338,33405.5835,14008.92903
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1992,18226.62494,43326.51602,3410.442723
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1992,13536.93694,20057.2674,4418.228633
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1992,13536.93694,20057.2674,4418.228633
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1992,88060.23304,106703.9139,70872.71303
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1992,60058.91818,76702.47022,45073.7683
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,2006,213697.7912,263659.814,164247.4236
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,2006,144207.1728,185589.5627,104320.4667
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,2006,69360.45856,101287.1865,42113.69102
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,2006,44871.83682,87142.87743,8796.295799
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,2006,833319.7654,871844.8532,795597.3189
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2006,822920.7486,860225.8847,785638.8572
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,2006,50449.65018,74905.45756,29761.78527
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,2006,84987.41979,196352.8907,14307.7314
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,2006,43994.21212,65403.06053,13238.50465
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,2006,43994.21212,65403.06053,13238.50465
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,2006,402899.3779,469532.8746,333271.7286
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,2006,213697.7912,263659.814,164247.4236
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,2006,88048.09255,108811.9759,66640.85562
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,2006,54523.3489,71318.69067,39047.39972
